1,BFS,0
1,UCS,0
1,A*,0.0009992122650146484
1,GBFS,0
2,BFS,0
2,UCS,0
2,A*,0
2,GBFS,0
3,BFS,0
3,UCS,0.0010001659393310547
3,A*,0
3,GBFS,0
10,BFS,0.21918511390686035
10,UCS,0.6942951679229736
10,A*,0.0019996166229248047
10,GBFS,0.0019986629486083984
15,BFS,35.00364303588867
15,UCS,120.69066572189331
15,A*,0.017109155654907227
15,GBFS,0.016017436981201172
20,BFS,1364.2334468364716
20,UCS,3292.563317298889
20,A*,0.1340928077697754
20,GBFS,0.13670587539672852
30,GBFS,741.8688478469849
30,A*,903.10817527771
